household_id,cluster,cluster_name,r_score,f_score,m_score,rfm_code,has_demographics
1939,0,Champions,2,3,4,234,True
1940,3,Loyal Actives,2,2,3,223,False
1941,3,Loyal Actives,2,4,2,242,False
1942,3,Loyal Actives,2,4,4,244,False
1943,3,Loyal Actives,4,4,4,444,False
1944,0,Champions,3,5,5,355,True
1945,2,Declining,1,1,2,112,False
1946,3,Loyal Actives,3,2,4,324,True
1947,3,Loyal Actives,5,4,5,545,False
1948,3,Loyal Actives,5,4,3,543,True
1949,2,Declining,2,3,3,233,True
1950,1,Truly Lapsed,1,2,2,122,False
1951,2,Declining,1,1,1,111,False
1952,0,Champions,2,1,1,211,False
1953,3,Loyal Actives,3,4,4,344,True
1954,3,Loyal Actives,3,4,3,343,False
1955,3,Loyal Actives,2,4,5,245,True
1956,3,Loyal Actives,4,2,3,423,False
1957,2,Declining,2,2,3,223,False
1958,2,Declining,1,2,2,122,False
1959,0,Champions,1,4,5,145,False
1960,0,Champions,2,3,3,233,False
1961,3,Loyal Actives,3,3,2,332,False
1962,0,Champions,4,4,4,444,True
1963,2,Declining,1,2,3,123,False
1964,3,Loyal Actives,4,3,3,433,True
1965,0,Champions,4,5,4,454,True
1966,3,Loyal Actives,4,4,5,445,False
1967,3,Loyal Actives,4,3,3,433,False
1968,3,Loyal Actives,4,3,3,433,False
1969,3,Loyal Actives,4,5,3,453,False
1970,3,Loyal Actives,5,3,2,532,False
1971,0,Champions,3,4,3,343,False
1972,3,Loyal Actives,2,4,3,243,False
1973,2,Declining,1,1,1,111,False
1974,2,Declining,1,4,4,144,False
1975,3,Loyal Actives,5,5,5,555,True
1976,3,Loyal Actives,2,4,4,244,True
1977,2,Declining,3,2,1,321,False
1978,3,Loyal Actives,2,3,2,232,False
1979,0,Champions,4,3,2,432,True
1980,3,Loyal Actives,4,3,4,434,True
1981,3,Loyal Actives,5,3,2,532,False
1982,3,Loyal Actives,2,4,4,244,True
1983,2,Declining,1,1,2,112,False
1984,1,Truly Lapsed,4,1,1,411,False
1985,3,Loyal Actives,5,4,5,545,True
1986,2,Declining,2,1,1,211,False
1987,3,Loyal Actives,2,3,3,233,False
1988,0,Champions,4,5,5,455,False
1989,0,Champions,2,5,4,254,True
1990,0,Champions,5,4,4,544,True
1991,0,Champions,2,2,1,221,False
1992,2,Declining,2,2,1,221,False
1993,3,Loyal Actives,5,3,2,532,False
1994,2,Declining,2,2,2,222,False
1995,3,Loyal Actives,3,4,5,345,True
1996,3,Loyal Actives,5,4,3,543,False
1997,3,Loyal Actives,4,3,4,434,True
1998,3,Loyal Actives,4,5,3,453,False
1999,2,Declining,3,2,1,321,False
2000,2,Declining,2,2,1,221,False
2001,0,Champions,2,1,1,211,False
2002,2,Declining,2,2,3,223,True
2003,2,Declining,2,2,3,223,False
2004,3,Loyal Actives,5,5,5,555,True
2005,3,Loyal Actives,5,3,3,533,False
2006,3,Loyal Actives,3,3,4,334,True
2007,0,Champions,5,5,5,555,True
2008,3,Loyal Actives,5,3,3,533,False
2009,1,Truly Lapsed,1,1,1,111,False
2010,1,Truly Lapsed,2,1,1,211,False
2011,3,Loyal Actives,4,4,3,443,True
2012,0,Champions,4,5,5,455,True
2013,2,Declining,1,4,2,142,True
2014,2,Declining,2,1,2,212,False
2015,3,Loyal Actives,4,4,5,445,False
2016,3,Loyal Actives,5,3,3,533,False
2017,0,Champions,4,5,5,455,True
2018,3,Loyal Actives,5,5,4,554,True
2019,3,Loyal Actives,4,5,5,455,False
2020,3,Loyal Actives,5,5,5,555,True
2021,3,Loyal Actives,3,3,2,332,False
2022,3,Loyal Actives,5,3,5,535,False
2023,3,Loyal Actives,5,4,3,543,True
2024,0,Champions,4,3,4,434,True
2025,0,Champions,3,1,2,312,False
2026,2,Declining,4,1,3,413,False
2027,3,Loyal Actives,1,4,3,143,False
2028,3,Loyal Actives,3,3,3,333,False
2029,2,Declining,2,2,3,223,False
2030,3,Loyal Actives,5,4,4,544,True
2031,1,Truly Lapsed,1,1,1,111,False
2032,0,Champions,5,2,2,522,False
2033,0,Champions,1,4,4,144,False
2034,0,Champions,4,5,4,454,False
2035,3,Loyal Actives,3,2,2,322,False
2036,3,Loyal Actives,3,2,4,324,False
2037,3,Loyal Actives,3,3,2,332,False
2038,2,Declining,3,2,3,323,False
2040,3,Loyal Actives,3,5,3,353,True
2041,3,Loyal Actives,4,5,5,455,True
2042,3,Loyal Actives,2,2,4,224,False
2043,3,Loyal Actives,3,3,3,333,False
2044,3,Loyal Actives,4,2,2,422,False
2045,2,Declining,1,1,1,111,False
2046,2,Declining,2,2,1,221,False
2047,0,Champions,2,4,4,244,False
2048,2,Declining,2,2,3,223,False
2049,2,Declining,2,2,1,221,False
2050,0,Champions,4,4,4,444,True
2051,1,Truly Lapsed,1,2,1,121,False
2052,1,Truly Lapsed,1,1,1,111,False
2053,3,Loyal Actives,4,5,4,454,True
